"Id","Appearances","Nationality"
"Nepomniachtchi",1,"Russia"
"Carlsen",5,"Norway"
"Caruana",1,"United States"
"Karjakin",2,"Russia"
"Anand",26,"India"
"Gelfand",19,"Israel"
"Topalov",22,"Bulgaria"
"Kramnik",12,"Russia"
"Morozevich",20,"Russia"
"Grischuk",20,"Russia"
"Svidler",21,"Russia"
"Aronian",12,"United States"
"Leko",18,"Hungary"
"Polgar",14,"Hungary"
"Adams",25,"England"
"Kasimdzhanov",18,"Uzbekistan"
"Solomon",1,"South Africa"
"Ivanchuk",15,"Ukraine"
"Kadhi",1,"No Data"
"Malakhov",4,"Russia"
"Dableo",1,"No Data"
"Sokolov",8,"Netherlands"
"Tissir",1,"No Data"
"Akopian",15,"United States"
"Garcia Palermo",1,"No Data"
"Mahjoob",1,"Iran"
"Bacrot",6,"France"
"Johansen",1,"No Data"
"Rublevsky",10,"No Data"
"Bartel",1,"Poland"
"Aleksandrov",10,"Belarus"
"Barsov",2,"No Data"
"Vallejo Pons",4,"No Data"
"Paragua",1,"United States"
"Sakaev",8,"No Data"
"Kritz",2,"United States"
"Mamedyarov",3,"Azerbaijan"
"Barua",5,"India"
"Zvjaginsev",12,"No Data"
"Ramirez",1,"United States"
"Van Wely",12,"No Data"
"Hamdouchi",7,"Qatar"
"Vescovi",3,"Brazil"
"Acs",2,"No Data"
"Movsesian",11,"Armenia"
"Campora",3,"No Data"
"Vaganian",7,"No Data"
"Wojtkiewicz",2,"No Data"
"Gagunashvili",1,"Georgia"
"Zhang Zhong",4,"No Data"
"Sulskis",5,"No Data"
"Moiseenko",3,"Ukraine"
"Al Modiahki",4,"No Data"
"Kobalia",2,"Russia"
"Nakamura",4,"United States"
"Nielsen",6,"No Data"
"Morovic Fernandez",2,"No Data"
"Kozul",4,"No Data"
"Kotsur",3,"Kazakhstan"
"Lastin",5,"No Data"
"Anastasian",7,"No Data"
"Vladimirov",4,"No Data"
"Adianto",7,"No Data"
"Jobava",1,"Georgia"
"Kharlov",6,"No Data"
"Sargissian",1,"Armenia"
"Inarkiev",1,"Russia"
"Krasenkow",11,"Poland"
"Harikrishna",3,"No Data"
"Kotronias",5,"No Data"
"Agrest",2,"Sweden"
"Bruzon",3,"No Data"
"Galkin",3,"Russia"
"Abulhul",1,"No Data"
"Asabri",1,"No Data"
"Arab",1,"No Data"
"Short",11,"United Kingdom"
"Haznedaroglu",1,"No Data"
"Nisipeanu",13,"Romania"
"Simutowe",3,"No Data"
"Dreev",19,"Russia"
"Gonzalez Garcia",1,"No Data"
"Ye Jiangchuan",7,"No Data"
"Azmaiparashvili",12,"No Data"
"Charbonneau",1,"United States"
"Gurevich",9,"Belgium"
"Adly",1,"Egypt"
"Radjabov",7,"Azerbaijan"
"El Gindy",1,"No Data"
"Beliavsky",12,"No Data"
"Vasquez",2,"Chile"
"Bologan",7,"Moldova"
"Mastrovasilis",1,"Greece"
"Sasikiran",5,"No Data"
"Neverov",1,"No Data"
"Graf",3,"No Data"
"Lima",2,"Brazil"
"Ivanov",5,"United States"
"Motylev",4,"Russia"
"Guseinov",2,"Azerbaijan"
"Nikolic",6,"No Data"
"Landa",1,"United Arab Emirates"
"Filippov",3,"Kazakhstan"
"Ghaem Maghami",4,"No Data"
"Georgiev",12,"United States"
"Lputian",7,"No Data"
"Leitao",9,"Brazil"
"Macieja",9,"United States"
"Dolmatov",3,"No Data"
"Almasi",10,"No Data"
"Volkov",4,"Russia"
"Ganguly",2,"India"
"Iordachescu",4,"Moldova"
"Dao Thien Hai",4,"No Data"
"Sadvakasov",3,"No Data"
"Kempinski",1,"No Data"
"Bu Xiangzhi",1,"No Data"
"Ni Hua",2,"No Data"
"Alekseev",1,"Russia"
"Felgaer",3,"Argentina"
"Dautov",3,"No Data"
"Tiviakov",8,"Netherlands"
"Dominguez",7,"No Data"
"Milos",10,"Brazil"
"Xu Jun",4,"No Data"
"Kacheishvili",1,"United States"
"Asrian",7,"No Data"
"Smirnov",4,"Russia"
"Delchev",5,"Bulgaria"
"Elarbi",1,"No Data"
"Neelotpal",1,"No Data"
"Tkachiev",15,"Russia"
"Kudrin",2,"United States"
"Ponomariov",10,"No Data"
"Lautier",10,"France"
"Bareev",12,"Canada"
"Kobalija",3,"No Data"
"Avrukh",1,"United States"
"Korchnoi",1,"No Data"
"Christiansen",2,"Cayman Islands"
"Gulko",8,"United States"
"Conquest",1,"No Data"
"Kaidanov",2,"United States"
"Pigusov",3,"Russia"
"Yermolinsky",7,"United States"
"Lesiege",3,"No Data"
"Ehlvest",11,"United States"
"Malakhatko",1,"No Data"
"Cvitan",1,"Croatia"
"Savchenko",1,"Ukraine"
"Gdanski",1,"No Data"
"Belkhodja",1,"No Data"
"Sutovsky",4,"Israel"
"Volokitin",1,"Ukraine"
"Zapata",2,"United States"
"Yu Shaoteng",1,"No Data"
"Karpov",6,"No Data"
"El Taher",2,"No Data"
"Khalifman",15,"Russia"
"Kobese",3,"No Data"
"Nguyen Anh Dung",2,"No Data"
"Psakhis",6,"No Data"
"Milov",7,"No Data"
"Luther",4,"No Data"
"Zhang Pengxiang",2,"No Data"
"Baklan",4,"Ukraine"
"Eingorn",1,"No Data"
"Touzane",1,"No Data"
"Khenkin",2,"No Data"
"Benjamin",5,"United States"
"Mohota",1,"No Data"
"Arakhamia",1,"No Data"
"Xu Yuanyuan",1,"No Data"
"Foisor",1,"No Data"
"Baginskaite",1,"No Data"
"Zielinska",1,"No Data"
"Paehtz",1,"Germany"
"Kiseleva",1,"No Data"
"Stepovaia Dianchenko",1,"No Data"
"Ciuksyte",1,"No Data"
"Pina",1,"No Data"
"Gu Xiaobing",1,"No Data"
"Prudnikova",1,"No Data"
"Gaprindashvili",1,"No Data"
"Radziewicz",1,"No Data"
"Wang Yu",1,"No Data"
"Sarthou",1,"No Data"
"Shovunov",1,"No Data"
"Gluzman",1,"No Data"
"Pierrot",1,"No Data"
"Shirov",16,"Spain"
"Vlassov",1,"No Data"
"Smirin",5,"Israel"
"Safin",1,"No Data"
"Aseev",1,"No Data"
"Fedorov",5,"Belarus"
"Goldin",1,"United States"
"Shabalov",2,"United States"
"Timoshenko",1,"No Data"
"Liang Chong",2,"No Data"
"Shipov",4,"Russia"
"Nataf",5,"France"
"Gyimesi",2,"No Data"
"Cabrera",1,"Cuba"
"Iuldachev",1,"Uzbekistan"
"Rizouk",1,"No Data"
"Rogozenko",1,"No Data"
"Atalik",1,"Serbia"
"Hoffman",2,"Uruguay"
"Li Wenliang",1,"No Data"
"Supatashvili",1,"No Data"
"Zeliakov",1,"No Data"
"Kasparov",4,"Russia"
"Bezgodov",1,"No Data"
"Chernin",3,"No Data"
"Kunte",1,"India"
"Dizdarevic",2,"No Data"
"Villamayor",1,"Singapore"
"Fiorito",1,"No Data"
"Zaja",1,"No Data"
"Hakki",1,"No Data"
"Nevednichy",2,"Romania"
"Hernandez",2,"No Data"
"Serper",3,"United States"
"Godena",1,"No Data"
"Nogueiras",1,"No Data"
"Rustemov",1,"Russia"
"Lutz",2,"No Data"
"Wohl",1,"No Data"
"Speelman",3,"United Kingdom"
"Minasian",2,"No Data"
"Labib",1,"No Data"
"Utnasunov",1,"No Data"
"Piket",5,"No Data"
"Blehm",1,"No Data"
"Stefansson",3,"Iceland"
"Rytshagov",1,"No Data"
"Onischuk",2,"United States"
"Bagheri",1,"Monaco"
"Tregubov",2,"France"
"Kveinys",1,"No Data"
"Hansen",2,"Canada"
"Peng Xiaomin",4,"No Data"
"Wahls",2,"No Data"
"Andersson",4,"No Data"
"Antonio",2,"Philippines"
"Akesson",1,"Sweden"
"Ricardi",1,"No Data"
"Shaked",4,"No Data"
"Bouaziz",1,"No Data"
"Spraggett",2,"No Data"
"Zubarev",1,"No Data"
"Feldman",1,"No Data"
"Chiburdanidze",1,"No Data"
"Fridman",2,"Germany"
"Mohamed",1,"No Data"
"Nijboer",3,"No Data"
"Rozentalis",3,"No Data"
"Cela",1,"No Data"
"Becerra Rivero",1,"No Data"
"Bauer",2,"France"
"De Firmian",1,"No Data"
"Dizdar",2,"No Data"
"Djuric",1,"No Data"
"Babula",1,"No Data"
"Zelcic",1,"No Data"
"Kozak",1,"Hungary"
"Magem Badals",3,"No Data"
"Miles",2,"No Data"
"Reinderman",1,"Netherlands"
"Rodriguez",1,"Cuba"
"Timman",4,"Netherlands"
"Kamsky",2,"United States"
"Kortschnoj",5,"No Data"
"Salov",2,"No Data"
"Sadler",3,"No Data"
"Alterman",2,"No Data"
"Giorgadze",2,"Georgia"
"Glek",1,"No Data"
"Fominyh",1,"No Data"
"Hjartarson",2,"Iceland"
"Gretarsson",2,"Iceland"
"Hoeksema",1,"No Data"
"Malaniuk",2,"No Data"
"Petursson",1,"No Data"
"Slobodjan",2,"No Data"
"Seirawan",3,"United States"
"Sutovskij",1,"No Data"
"Smyslov",5,"No Data"
"Van der Wiel",1,"No Data"
