"id","nationality"
"Nepomniachtchi","Russia"
"Carlsen","Norway"
"Caruana","United States"
"Karjakin","Russia"
"Anand","India"
"Gelfand","Israel"
"Topalov","Bulgaria"
"Kramnik","Russia"
"Morozevich","Russia"
"Grischuk","Russia"
"Svidler","Russia"
"Aronian","United States"
"Leko","Hungary"
"Polgar","Hungary"
"Adams","England"
"Kasimdzhanov","Uzbekistan"
"Solomon","South Africa"
"Ivanchuk","Ukraine"
"Kadhi","No Data"
"Malakhov","Russia"
"Dableo","No Data"
"Sokolov","Netherlands"
"Tissir","No Data"
"Akopian","United States"
"Garcia Palermo","No Data"
"Mahjoob","Iran"
"Bacrot","France"
"Johansen","Australia"
"Rublevsky","No Data"
"Bartel","Poland"
"Aleksandrov","Russia"
"Barsov","Uzbekistan"
"Vallejo Pons","No Data"
"Paragua","Philippines"
"Sakaev","Russia"
"Kritz","United States"
"Mamedyarov","Azerbaijan"
"Barua","India"
"Zvjaginsev","Russia"
"Ramirez","United States"
"Van Wely","No Data"
"Hamdouchi","Morocco"
"Vescovi","Brazil"
"Acs","Hungary"
"Movsesian","Armenia"
"Campora","Argentina"
"Vaganian","Armenia"
"Wojtkiewicz","No Data"
"Gagunashvili","Georgia"
"Zhang Zhong","No Data"
"Sulskis","Lithuania"
"Moiseenko","Ukraine"
"Al Modiahki","No Data"
"Kobalia","Russia"
"Nakamura","United States"
"Nielsen","No Data"
"Morovic Fernandez","No Data"
"Kozul","Croatia"
"Kotsur","Kazakhstan"
"Lastin","No Data"
"Anastasian","No Data"
"Vladimirov","No Data"
"Adianto","No Data"
"Jobava","Georgia"
"Kharlov","No Data"
"Sargissian","Armenia"
"Inarkiev","Russia"
"Krasenkow","Poland"
"Harikrishna","India"
"Kotronias","Greece"
"Agrest","Sweden"
"Bruzon","No Data"
"Galkin","Russia"
"Abulhul","No Data"
"Asabri","No Data"
"Arab","No Data"
"Short","England"
"Haznedaroglu","Türkiye"
"Nisipeanu","Romania"
"Simutowe","No Data"
"Dreev","Russia"
"Gonzalez Garcia","No Data"
"Ye Jiangchuan","No Data"
"Azmaiparashvili","No Data"
"Charbonneau","United States"
"Gurevich","Belgium"
"Adly","Egypt"
"Radjabov","Azerbaijan"
"El Gindy","No Data"
"Beliavsky","Slovenia"
"Vasquez","Chile"
"Bologan","Moldova"
"Mastrovasilis","Greece"
"Sasikiran","India"
"Neverov","Ukraine"
"Graf","Germany"
"Lima","Brazil"
"Ivanov","United States"
"Motylev","Romania"
"Guseinov","Azerbaijan"
"Nikolic","Bosnia & Herzegovina"
"Landa","United Arab Emirates"
"Filippov","Kazakhstan"
"Ghaem Maghami","No Data"
"Georgiev","North Macedonia"
"Lputian","No Data"
"Leitao","Brazil"
"Macieja","Poland"
"Dolmatov","No Data"
"Almasi","No Data"
"Volkov","Russia"
"Ganguly","India"
"Iordachescu","Moldova"
"Dao Thien Hai","No Data"
"Sadvakasov","Kazakhstan"
"Kempinski","Poland"
"Bu Xiangzhi","No Data"
"Ni Hua","No Data"
"Alekseev","Israel"
"Felgaer","Argentina"
"Dautov","Germany"
"Tiviakov","Netherlands"
"Dominguez","No Data"
"Milos","Brazil"
"Xu Jun","No Data"
"Kacheishvili","United States"
"Asrian","No Data"
"Smirnov","Australia"
"Delchev","Bulgaria"
"Elarbi","No Data"
"Neelotpal","No Data"
"Tkachiev","Russia"
"Kudrin","United States"
"Ponomariov","Ukraine"
"Lautier","France"
"Bareev","Canada"
"Kobalija","No Data"
"Avrukh","United States"
"Korchnoi","No Data"
"Christiansen","Norway"
"Gulko","United States"
"Conquest","No Data"
"Kaidanov","United States"
"Pigusov","Russia"
"Yermolinsky","United States"
"Lesiege","No Data"
"Ehlvest","United States"
"Malakhatko","Belgium"
"Cvitan","Croatia"
"Savchenko","Russia"
"Gdanski","Poland"
"Belkhodja","Tunisia"
"Sutovsky","Israel"
"Volokitin","Ukraine"
"Zapata","Colombia"
"Yu Shaoteng","No Data"
"Karpov","No Data"
"El Taher","No Data"
"Khalifman","Russia"
"Kobese","No Data"
"Nguyen Anh Dung","Vietnam"
"Psakhis","Israel"
"Milov","Switzerland"
"Luther","No Data"
"Zhang Pengxiang","No Data"
"Baklan","Ukraine"
"Eingorn","No Data"
"Touzane","No Data"
"Khenkin","Germany"
"Benjamin","United States"
"Mohota","No Data"
"Arakhamia","No Data"
"Xu Yuanyuan","No Data"
"Foisor","No Data"
"Baginskaite","No Data"
"Zielinska","No Data"
"Paehtz","Germany"
"Kiseleva","No Data"
"Stepovaia Dianchenko","No Data"
"Ciuksyte","No Data"
"Pina","No Data"
"Gu Xiaobing","No Data"
"Prudnikova","No Data"
"Gaprindashvili","Georgia"
"Radziewicz","No Data"
"Wang Yu","No Data"
"Sarthou","No Data"
"Shovunov","No Data"
"Gluzman","No Data"
"Pierrot","No Data"
"Shirov","Spain"
"Vlassov","No Data"
"Smirin","Israel"
"Safin","No Data"
"Aseev","No Data"
"Fedorov","Russia"
"Goldin","United States"
"Shabalov","United States"
"Timoshenko",Ukraine"
"Liang Chong","No Data"
"Shipov","Russia"
"Nataf","France"
"Gyimesi","No Data"
"Cabrera","Cuba"
"Iuldachev","Uzbekistan"
"Rizouk","Algeria"
"Rogozenko","Romania"
"Atalik","Serbia"
"Hoffman","Uruguay"
"Li Wenliang","No Data"
"Supatashvili","No Data"
"Zeliakov","No Data"
"Kasparov","Russia"
"Bezgodov","Russia"
"Chernin","No Data"
"Kunte","India"
"Dizdarevic","Bosnia & Herzegovina"
"Villamayor","Singapore"
"Fiorito","No Data"
"Zaja","Croatia"
"Hakki","No Data"
"Nevednichy","Romania"
"Hernandez","No Data"
"Serper","United States"
"Godena","Italy"
